system_type,test_case,input_text,expected_values,actual_values,accuracy,response_time,cpu_usage,memory_usage,test_category,has_errors
original,基础测量值,测量值为十二点五,[12.5],[],0.0,0.0,2.0,45.9,basic,False
original,多值测量,测量值为十二点五和三十三点八,"[12.5, 33.8]",[],0.0,0.000997781753540039,2.2,45.9,basic,False
original,单值测量,五十五点五,[55.5],[55.5],1.0,0.0,0.0,45.9,basic,False
original,暂停后测量1,七十七点七和九十九点九,"[77.7, 99.9]","[77.7, 99.9]",1.0,0.002919435501098633,2.6,45.8,basic,False
original,暂停后测量2,一百一十一点一,[111.1],[111.1],1.0,0.0007157325744628906,4.6,45.8,basic,False
original,最终测量1,测量数据为一百二十三点四,[123.4],[123.4],1.0,0.0003330707550048828,9.7,45.8,basic,False
original,最终测量2,二百五十六点七八,[256.78],[256.78],1.0,0.0006079673767089844,6.5,45.9,basic,False
original,空字符串测试,,[],[],1.0,0.0010256767272949219,4.7,45.9,basic,False
original,纯文本无数字,无数字文本,[],[],1.0,0.0005037784576416016,2.4,45.9,basic,False
original,极小小数,零点零零一,[0.001],[0.001],1.0,0.0029091835021972656,3.1,45.8,basic,False
original,负数测试,负十度,[-10.0],[-10.0],1.0,0.0011374950408935547,0.0,45.8,basic,False
original,负小数测试,温度负二十五点五度,[-25.5],[-25.5],1.0,0.0009922981262207031,14.1,45.9,basic,False
original,大数多小数位,一千零二十三点四五六,[1023.456],[1023.456],1.0,0.0009987354278564453,7.5,45.9,basic,False
original,万位大数,二万三千四百五十六点七八九,[23456.789],[23456.789],1.0,0.003701925277709961,3.9,45.9,basic,False
original,极小小数,测量值为零点零零一,[0.001],[],0.0,0.0,6.5,45.9,basic,False
original,纯零,零,[0.0],[0.0],1.0,0.002783536911010742,7.2,45.9,basic,False
original,百万级大数,一百万点一二三四五,[1000000.12345],[1000000.12345],1.0,0.0,4.1,45.8,basic,False
original,多个整数,一百二十和三百四十五,"[120.0, 345.0]","[120.0, 345.0]",1.0,0.0017809867858886719,4.5,45.9,basic,False
original,多个小数,零点五和零点八,"[0.5, 0.8]","[0.5, 0.8]",1.0,0.004085063934326172,6.4,45.9,basic,False
original,多个负数,负一十和负二十点五,"[-10.0, -20.5]","[-10.0, -20.5]",1.0,0.0008528232574462891,1.3,45.9,basic,False
original,连续中文数字,一千二三百,"[1200.0, 300.0]","[1200.0, 300.0]",1.0,0.0017654895782470703,4.8,45.9,basic,False
original,中英混合,温度25.5度湿度36度,"[25.5, 36.0]","[25.5, 36.0]",1.0,0.0010089874267578125,8.8,45.8,basic,False
original,逗号分隔,数值为12，34，56.78,"[12.0, 34.0, 56.78]","[12.0, 34.0, 56.78]",1.0,0.0017745494842529297,4.0,45.9,basic,False
original,非标准中文数字,测量值为一二三点四五度,[123.45],[],0.0,0.0010542869567871094,14.6,46.0,basic,False
original,模糊量词,温度大概二十五度左右,[25.0],[25.0],1.0,0.0,14.3,45.9,basic,False
original,选择性数值,二十五或三十度,"[25.0, 30.0]","[25.0, 30.0]",1.0,0.0017290115356445312,4.3,45.9,basic,False
original,无效数值,数值为N/A,[],[],1.0,0.0005044937133789062,2.2,45.9,basic,False
original,不完整小数,测量值是二十五点,[25.0],[],0.0,0.001233816146850586,0.0,45.9,basic,False
original,命令包围数值,暂停录音测量值为二十五点五度继续录音,[25.5],[],0.0,0.002408266067504883,2.6,45.9,basic,False
original,命令后数值,停止录音三十度,[30.0],[30.0],1.0,0.0,5.8,45.9,basic,False
original,数值后命令,二十五度暂停录音,[25.0],[25.0],1.0,0.0014562606811523438,3.1,46.0,basic,False
